과정,개설학과,교과목코드,교과목명,개설학년,영역구분,수강인원,강좌대표교수,강좌담당교수,수업주수,교과목학점,강의유형구분
전공심화,소프트웨어융합학과,H150,캡스톤디자인심화실무,4,전공,12,고철영,고철영,7,5,실습
전공심화,소프트웨어융합학과,H153,IoT시스템개발,4,전공,12,정환익,정환익,15,3,실습
전공심화,소프트웨어융합학과,H154,AI애플리케이션개발,4,전공,12,정계동,정계동,15,3,실습
정규일반,소프트웨어융합과,G531,M프로그래밍언어활용(1),1,전공,41,배희호,배희호,15,3,실습
정규일반,소프트웨어융합과,G531,M프로그래밍언어활용(1),1,전공,30,배희호,배희호,15,3,실습
정규일반,소프트웨어융합과,M432,MSQL활용(1),1,전공,37,안철훈,안철훈,15,3,실습
정규일반,소프트웨어융합과,M432,MSQL활용(1),1,전공,31,안철훈,안철훈,15,3,실습
정규일반,소프트웨어융합과,M451,M화면구현(2),1,전공,37,유선주,유선주,15,3,실습
정규일반,소프트웨어융합과,M451,M화면구현(2),1,전공,32,유선주,유선주,15,3,실습
정규일반,소프트웨어융합과,M452,MIT보안,1,전공,35,박상렬,박상렬,15,3,실습
정규일반,소프트웨어융합과,M452,MIT보안,1,전공,33,박상렬,박상렬,15,3,실습
정규일반,소프트웨어융합과(2022),M429,M서버프로그램구현(1),2,전공,39,나기수,나기수,15,3,실습
정규일반,소프트웨어융합과(2022),M429,M서버프로그램구현(1),2,전공,26,나기수,나기수,15,3,실습
정규일반,소프트웨어융합과(2022),M438,M애플리케이션배포,2,전공,38,유소율,유소율,15,3,실습
정규일반,소프트웨어융합과(2022),M438,M애플리케이션배포,2,전공,23,박상렬,박상렬,15,3,실습
정규일반,소프트웨어융합과(2022),M439,M애플리케이션테스트수행,2,전공,37,홍주영,홍주영,15,3,실습
정규일반,소프트웨어융합과(2022),M439,M애플리케이션테스트수행,2,전공,27,홍주영,홍주영,15,3,실습
정규일반,소프트웨어융합과(2022),M440,M앱프로그래밍(1),2,전공,38,배희호,배희호,15,3,실습
정규일반,소프트웨어융합과(2022),M440,M앱프로그래밍(1),2,전공,28,배희호,배희호,15,3,실습
정규일반,소프트웨어융합과(2022),M448,M프로젝트실습(1),2,전공,39,이정훈,이정훈,15,3,실습
정규일반,소프트웨어융합과(2022),M448,M프로젝트실습(1),2,전공,19,이정훈,이정훈,15,3,실습
정규일반,코딩전공,C938,캡스톤디자인,3,전공,36,정환익,정환익,7,3,실습
정규일반,코딩전공,C938,캡스톤디자인,3,전공,40,정환익,정환익,7,3,실습
정규일반,코딩전공,M431,MIoT응용,3,전공,26,정환익,정환익,7,3,실습
정규일반,코딩전공,M436,M빅데이터처리,3,전공,30,유소율,유소율,7,3,실습
정규일반,코딩전공,M444,M인공지능실습,3,전공,16,신효영,신효영,7,3,실습
정규일반,코딩전공,M444,M인공지능실습,3,전공,26,신효영,신효영,7,3,실습
정규일반,빅데이터과,7432,웹프로그래밍(2),1,전공,23,안철훈,안철훈,15,3,실습
정규일반,빅데이터과,G940,텍스트&영상처리,3,전공,15,조상구,조상구,7,3,실습
정규일반,빅데이터과,G951,딥러닝실습,2,전공,13,정계동,정계동,15,3,실습
정규일반,빅데이터과,G952,인공지능모델운영,2,전공,20,조상구,조상구,15,3,실습
정규일반,빅데이터과,G953,자바프로그래밍(2),1,전공,23,안철훈,안철훈,15,3,실습
정규일반,빅데이터과,G954,데이터시각화실습,2,전공,13,김대중,김대중,15,3,실습
정규일반,빅데이터과,G958,SW코딩활용,1,전공,24,서공원,서공원,15,2,실습
정규일반,빅데이터과,G959,파이썬프로그래밍(2),1,전공,26,조문석,조문석,15,3,실습
정규일반,빅데이터과,G960,SQL활용(2),1,전공,24,서공원,서공원,15,3,실습
정규일반,빅데이터과,G961,데이터분석실습,2,전공,14,조문석,조문석,15,3,실습
정규일반,빅데이터과,G965,앱프로그래밍(2),2,전공,13,서공원,서공원,15,3,실습
정규일반,빅데이터과,G966,서버프로그램구현(2),2,전공,16,안철훈,안철훈,15,3,실습
