요일,시간,강의실,과목
목,9,1215,캡스톤디자인심화실무
목,10,1215,캡스톤디자인심화실무
목,11,1215,캡스톤디자인심화실무
목,12,1215,캡스톤디자인심화실무
목,13,1215,캡스톤디자인심화실무
금,9,1419,IoT시스템개발
금,10,1419,IoT시스템개발
금,11,1419,IoT시스템개발
금,9,1216,AI애플리케이션개발
금,10,1216,AI애플리케이션개발
금,11,1216,AI애플리케이션개발
화,9,1216,M프로그래밍언어활용(1)
화,10,1216,M프로그래밍언어활용(1)
화,11,1216,M프로그래밍언어활용(1)
화,12,1418,M프로그래밍언어활용(1)
화,13,1418,M프로그래밍언어활용(1)
화,14,1418,M프로그래밍언어활용(1)
월,9,1215,MSQL활용(1)
월,10,1215,MSQL활용(1)
월,11,1215,MSQL활용(1)
수,9,1418,MSQL활용(1)
수,10,1418,MSQL활용(1)
수,11,1418,MSQL활용(1)
목,9,1216,M화면구현(2)
목,10,1216,M화면구현(2)
목,11,1216,M화면구현(2)
금,9,1418,M화면구현(2)
금,10,1418,M화면구현(2)
금,11,1418,M화면구현(2)
화,9,1215,MIT보안
화,10,1215,MIT보안
화,11,1215,MIT보안
수,9,1216,MIT보안
수,10,1216,MIT보안
수,11,1216,MIT보안
목,9,1217,M서버프로그램구현(1)
목,10,1217,M서버프로그램구현(1)
목,11,1217,M서버프로그램구현(1)
목,12,1418,M서버프로그램구현(1)
목,13,1418,M서버프로그램구현(1)
목,14,1418,M서버프로그램구현(1)
수,9,1215,M애플리케이션배포
수,10,1215,M애플리케이션배포
수,11,1215,M애플리케이션배포
목,12,1217,M애플리케이션배포
목,13,1217,M애플리케이션배포
목,14,1217,M애플리케이션배포
화,12,1215,M애플리케이션테스트수행
화,13,1215,M애플리케이션테스트수행
화,14,1215,M애플리케이션테스트수행
수,12,1216,M애플리케이션테스트수행
수,13,1216,M애플리케이션테스트수행
수,14,1216,M애플리케이션테스트수행
금,12,1216,M앱프로그래밍(1)
금,13,1216,M앱프로그래밍(1)
금,14,1216,M앱프로그래밍(1)
월,12,1215,M앱프로그래밍(1)
월,13,1215,M앱프로그래밍(1)
월,14,1215,M앱프로그래밍(1)
화,15,1215,M프로젝트실습(1)
화,16,1215,M프로젝트실습(1)
화,17,1215,M프로젝트실습(1)
금,12,1419,M프로젝트실습(1)
금,13,1419,M프로젝트실습(1)
금,14,1419,M프로젝트실습(1)
금,12,1217,캡스톤디자인
금,13,1217,캡스톤디자인
금,14,1217,캡스톤디자인
금,15,1419,캡스톤디자인
금,16,1419,캡스톤디자인
금,17,1419,캡스톤디자인
수,15,1216,MIoT응용
수,16,1216,MIoT응용
수,17,1216,MIoT응용
수,12,1419,M빅데이터처리
수,13,1419,M빅데이터처리
수,14,1419,M빅데이터처리
금,12,1418,M인공지능실습
금,13,1418,M인공지능실습
금,14,1418,M인공지능실습
목,15,1217,M인공지능실습
목,16,1217,M인공지능실습
목,17,1217,M인공지능실습
월,12,1419,웹프로그래밍(2)
월,13,1419,웹프로그래밍(2)
월,14,1419,웹프로그래밍(2)
금,15,1418,텍스트&영상처리
금,16,1418,텍스트&영상처리
금,17,1418,텍스트&영상처리
월,15,1215,딥러닝실습
월,16,1215,딥러닝실습
월,17,1215,딥러닝실습
월,9,1418,인공지능모델운영
월,10,1418,인공지능모델운영
월,11,1418,인공지능모델운영
화,9,1217,자바프로그래밍(2)
화,10,1217,자바프로그래밍(2)
화,11,1217,자바프로그래밍(2)
수,12,1418,데이터시각화실습
수,13,1418,데이터시각화실습
수,14,1418,데이터시각화실습
화,9,1419,SW코딩활용
화,10,1419,SW코딩활용
화,12,1216,파이썬프로그래밍(2)
화,13,1216,파이썬프로그래밍(2)
화,14,1216,파이썬프로그래밍(2)
목,9,1418,SQL활용(2)
목,10,1418,SQL활용(2)
목,11,1418,SQL활용(2)
목,12,1216,데이터분석실습
목,13,1216,데이터분석실습
목,14,1216,데이터분석실습
월,9,1217,앱프로그래밍(2)
월,10,1217,앱프로그래밍(2)
월,11,1217,앱프로그래밍(2)
수,12,1217,서버프로그램구현(2)
수,13,1217,서버프로그램구현(2)
수,14,1217,서버프로그램구현(2)
